frame,timestamp,pitch,yaw,roll
0,0.0,-66.13277069867006,-77.91754977162576,-75.2148871221772
1,0.016762643041712808,-72.54762658338237,-75.8490730088524,-80.28569233369866
2,0.033525286083425615,-62.46322770548803,-75.36763072853425,-69.94016905565593
3,0.05028792912513842,-63.90666387397988,-75.21015294204697,-71.62540421505481
4,0.06705057216685123,-66.8425181222711,-75.37451343968418,-74.48656024581835
5,0.08381321520856404,-63.92189809060223,-75.7203218215026,-71.76714232726772
6,0.10057585825027685,-62.59169889372827,-75.09260110954347,-70.60917151412895
7,0.11733850129198965,-64.7675078861658,-75.36581930359543,-72.80679457205771
8,0.13410114433370246,-62.87691882847594,-75.59902629632516,-70.7161762376339
9,0.15086378737541528,-65.73374409180744,-76.17623116706216,-73.93451816519375
10,0.16762643041712808,-63.54039916533744,-75.50905836821254,-71.80721960132718
11,0.1843890734588409,-60.15616588505198,-75.1227518867198,-68.49455740940469
12,0.2011517165005537,-63.922907382390655,-75.74541782674204,-72.8028037722817
13,0.2179143595422665,-67.7208598305079,-74.73377468271912,-75.71461253918243
14,0.2346770025839793,-69.32102434432727,-75.33557117697579,-77.27274416551342
15,0.2514396456256921,-69.12176994776907,-74.81446257783013,-76.90046763482141
16,0.2682022886674049,-66.36650036906047,-75.5600257909442,-74.59215541297304
17,0.28496493170911774,-68.53247563619465,-75.59464662104416,-76.4380706359565
18,0.30172757475083056,-69.17964617734958,-74.56540753355084,-77.05021543305234
19,0.31849021779254333,-72.76388453172548,-75.89744477220094,-80.69156618997268
20,0.33525286083425615,-67.9375192846315,-74.22233970780324,-76.1352224409281
21,0.35201550387596897,-70.5229819333621,-75.15621482697266,-78.43890514332095
22,0.3687781469176818,-70.97362387832212,-74.85789873882956,-79.7018068073869
23,0.3855407899593946,-71.18511882191969,-75.51683976665831,-79.46315748977706
24,0.4023034330011074,-72.47096290392889,-75.00230627930989,-80.54485627180846
25,0.4190660760428202,-70.5443798298271,-74.41905489154773,-78.75100875047482
26,0.435828719084533,-67.5105389432215,-75.1601878668722,-75.99817687209132
27,0.45259136212624584,-65.06909955784731,-74.89392006809827,-73.52964846592751
28,0.4693540051679586,-64.46669445762953,-75.08445243576824,-72.99090077647759
